"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","performance","1","Performance - Carga","7","0","","0"
"0","web","0","sucesso","1","0","TC_WEB_018 - visualizar produtos categoria","0"
"0","performance","1","Performance - Estresse","0","0","","0"
"0","api","0","sucesso","1","0","TC_API_011 - obter detalhes usuario por email","0"
"0","web","0","sucesso","1","0","TC_WEB_024 - baixar fatura pedido","0"
"0","web","1","sucesso","0","0","TC_WEB_023 - verificar detalhes endereco checkout","0"
"0","performance","0","frontend","8","0","TC_PF_008 - core web vitals","0"
"0","api","0","sucesso","1","0","TC_API_005 - verificar login valido","0"
"0","api","0","sucesso","1","0","TC_API_002 - listar todas marcas","0"
"0","web","0","sucesso","1","0","TC_WEB_002 - login usuario email senha corretos","0"
"0","api","0","sucesso","1","0","TC_API_009 - excluir conta usuario","0"
"0","web","0","sucesso","1","0","TC_WEB_014 - fazer pedido registrar checkout","0"
"0","web","0","sucesso","1","0","TC_WEB_017 - remover produtos carrinho","0"
"0","web","0","sucesso","1","0","TC_WEB_019 - visualizar adicionar marcas","0"
"0","web","0","sucesso","1","0","TC_WEB_007 - verificar pagina casos teste","0"
"0","web","0","sucesso","1","0","TC_WEB_013 - verificar quantidade produto carrinho","0"
"0","performance","0","Performance - Smoke","1","0","","0"
"0","web","0","erro","1","0","TC_WEB_005 - registrar usuario email existente","0"
"0","web","0","sucesso","1","0","TC_WEB_016 - fazer pedido login antes checkout","0"
"0","api","0","erro","1","0","TC_API_013 - validar metodo put em brandslist","0"
"0","performance","0","Performance - Auditoria","1","0","","0"
"0","api","0","erro","1","0","TC_API_014 - validar metodo delete em verifilogin","0"
"0","api","0","erro","1","0","TC_API_006 - verificar login sem email","0"
"0","web","0","sucesso","1","0","TC_WEB_026 - verificar scroll sem seta","0"
"0","web","0","sucesso","1","0","TC_WEB_008 - verificar todos produtos detalhes produto","0"
"0","api","0","erro","1","0","TC_API_012 - validar metodo post em productslist","0"
"0","api","0","sucesso","1","0","TC_API_001 - listar todos produtos","0"
"0","web","0","sucesso","1","0","TC_WEB_009 - pesquisar produto","0"
"0","web","0","sucesso","1","0","TC_WEB_012 - adicionar produtos carrinho","0"
"0","api","0","sucesso","1","0","TC_API_008 - criar conta usuario","0"
"0","web","0","sucesso","1","0","TC_WEB_011 - verificar assinatura pagina carrinho","0"
"0","web","0","sucesso","1","0","TC_WEB_022 - adicionar itens recomendados carrinho","0"
"0","api","0","erro","1","0","TC_API_007 - verificar login invalido","0"
"0","api","0","sucesso","1","0","TC_API_010 - atualizar conta usuario","0"
"0","web","0","sucesso","1","0","TC_WEB_020 - pesquisar produtos verificar carrinho login","0"
"0","performance","0","Performance - Pico","1","0","","0"
"0","api","0","sucesso","1","0","TC_API_003 - pesquisar produto","0"
"0","web","0","sucesso","1","0","TC_WEB_025 - verificar scroll seta","0"
"0","web","0","sucesso","1","0","TC_WEB_015 - fazer pedido registrar antes checkout","0"
"0","web","0","sucesso","1","0","TC_WEB_006 - formulario contato","0"
"0","web","0","sucesso","1","0","TC_WEB_001 - registrar usuario","0"
"0","web","0","sucesso","1","0","TC_WEB_021 - adicionar avaliacao produto","0"
"0","api","0","erro","1","0","TC_API_004 - pesquisar produto sem parametro","0"
"0","performance","0","Performance - Resistência","1","0","","0"
"0","web","0","sucesso","1","0","TC_WEB_004 - logout usuario","0"
"0","web","0","sucesso","1","0","TC_WEB_010 - verificar assinatura pagina inicial","0"
"0","web","0","erro","1","0","TC_WEB_003 - login usuario email senha incorretos","0"
