"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11211","deve verificar assinatura de newsletter na home page","","2026-06-01","passed","2026-06-01","","TC_WEB_010 - Verificar assinatura na página inicial","",""
"","33770","deve verificar detalhes do endereço no checkout","","2026-06-01","passed","2026-06-01","","TC_WEB_023 - Verificar detalhes do endereço na página de checkout","",""
"","330","deve retornar erro 405 quando DELETE é usado em verifyLogin","","2026-06-01","passed","2026-06-01","","TC_API_014 - Validar método DELETE em verifyLogin via API","",""
"","16684","deve mostrar erro ao registrar com email existente","","2026-06-01","passed","2026-06-01","","TC_WEB_005 - Registrar usuário com email existente","",""
"","315","deve retornar ""User exists!"" com status 200","","2026-06-01","passed","2026-06-01","","TC_API_005 - Verificar login com credenciais válidas via API","",""
"","1001","deve atualizar usuário e verificar persistência via GET","","2026-06-01","passed","2026-06-01","","TC_API_010 - Atualizar conta de usuário via API","",""
"","16027","deve fazer login com credenciais válidas da conta existente","","2026-06-01","passed","2026-06-01","","TC_WEB_002 - Login de usuário com email e senha corretos","",""
"","10704","Homepage deve ter LCP < 2500ms e CLS < 0,1","","2026-06-01","passed","2026-06-01","","TC_PF_008 - Core Web Vitals - Metricas de Frontend","",""
"","1000","Carga no endpoint /api/verifyLogin","","2026-06-01","passed","2026-06-01","","Performance","",""
"","3764","Checkout deve ter LCP < 2500ms e CLS < 0,1","","2026-06-01","passed","2026-06-01","","TC_PF_008 - Core Web Vitals - Metricas de Frontend","",""
"","29062","deve registrar um novo usuário e excluí-lo","","2026-06-01","passed","2026-06-01","","TC_WEB_001 - Registrar usuário","",""
"","1000","Smoke test - Validação de pipeline","","2026-06-01","passed","2026-06-01","","Performance","",""
"","6155","Detalhe Produto deve ter LCP < 2500ms e CLS < 0,1","","2026-06-01","passed","2026-06-01","","TC_PF_008 - Core Web Vitals - Metricas de Frontend","",""
"","1000","Carga no endpoint /api/getUserDetailByEmail","","2026-06-01","failed","2026-06-01","","Performance","",""
"","1000","Carga na página de produtos","","2026-06-01","passed","2026-06-01","","Performance","",""
"","50866","deve baixar fatura após pedido","","2026-06-01","passed","2026-06-01","","TC_WEB_024 - Baixar fatura após pedido","",""
